task_id,source_id,target_id,enabled
commons-059eb0390ab4__square-1024x1024,commons-059eb0390ab4,square-1024x1024,true
commons-060cf824bc31__square-1024x1024,commons-060cf824bc31,square-1024x1024,true
commons-0737b43c3bc0__square-1024x1024,commons-0737b43c3bc0,square-1024x1024,true
commons-0dce6da5024a__square-1024x1024,commons-0dce6da5024a,square-1024x1024,true
commons-0ebe9b03b237__square-1024x1024,commons-0ebe9b03b237,square-1024x1024,true
commons-0fc19abdcf08__square-1024x1024,commons-0fc19abdcf08,square-1024x1024,true
commons-100101862d08__square-1024x1024,commons-100101862d08,square-1024x1024,true
commons-137b888c6f8f__square-1024x1024,commons-137b888c6f8f,square-1024x1024,true
commons-17fab55d06c5__square-1024x1024,commons-17fab55d06c5,square-1024x1024,true
commons-18e5100f5ff8__square-1024x1024,commons-18e5100f5ff8,square-1024x1024,true
commons-1f3ce98efe7c__square-1024x1024,commons-1f3ce98efe7c,square-1024x1024,true
commons-24d1924e861f__square-1024x1024,commons-24d1924e861f,square-1024x1024,true
commons-250da3e21405__square-1024x1024,commons-250da3e21405,square-1024x1024,true
commons-2e9d4d1f99c8__square-1024x1024,commons-2e9d4d1f99c8,square-1024x1024,true
commons-2f3f755b2d48__square-1024x1024,commons-2f3f755b2d48,square-1024x1024,true
commons-2fad2cd9e16b__square-1024x1024,commons-2fad2cd9e16b,square-1024x1024,true
commons-3216896406ba__square-1024x1024,commons-3216896406ba,square-1024x1024,true
commons-3349acd37038__square-1024x1024,commons-3349acd37038,square-1024x1024,true
commons-34efc5c0961b__square-1024x1024,commons-34efc5c0961b,square-1024x1024,true
commons-366e7ba828af__square-1024x1024,commons-366e7ba828af,square-1024x1024,true
commons-38daa7762286__square-1024x1024,commons-38daa7762286,square-1024x1024,true
commons-3dd6cfd7c36b__square-1024x1024,commons-3dd6cfd7c36b,square-1024x1024,true
commons-40d255242614__square-1024x1024,commons-40d255242614,square-1024x1024,true
commons-4347ff882f64__square-1024x1024,commons-4347ff882f64,square-1024x1024,true
commons-44765f4bbe9a__square-1024x1024,commons-44765f4bbe9a,square-1024x1024,true
commons-48008889c8fa__square-1024x1024,commons-48008889c8fa,square-1024x1024,true
commons-48a6f31dbbef__square-1024x1024,commons-48a6f31dbbef,square-1024x1024,true
commons-493ed5423e48__square-1024x1024,commons-493ed5423e48,square-1024x1024,true
commons-4d228f39424f__square-1024x1024,commons-4d228f39424f,square-1024x1024,true
commons-4d536d9f0f2e__square-1024x1024,commons-4d536d9f0f2e,square-1024x1024,true
commons-52cbc0eac6ae__square-1024x1024,commons-52cbc0eac6ae,square-1024x1024,true
commons-53a6c8699582__square-1024x1024,commons-53a6c8699582,square-1024x1024,true
commons-5bd2a6c868c7__square-1024x1024,commons-5bd2a6c868c7,square-1024x1024,true
commons-60bd054c9b05__square-1024x1024,commons-60bd054c9b05,square-1024x1024,true
commons-628e5dad5140__square-1024x1024,commons-628e5dad5140,square-1024x1024,true
commons-7236651943ec__square-1024x1024,commons-7236651943ec,square-1024x1024,true
commons-76336ac577c5__square-1024x1024,commons-76336ac577c5,square-1024x1024,true
commons-7936f4560f6a__square-1024x1024,commons-7936f4560f6a,square-1024x1024,true
commons-7b24a778b5d8__square-1024x1024,commons-7b24a778b5d8,square-1024x1024,true
commons-8b9c974d7946__square-1024x1024,commons-8b9c974d7946,square-1024x1024,true
commons-9091eead3eeb__square-1024x1024,commons-9091eead3eeb,square-1024x1024,true
commons-9762fcc385d9__square-1024x1024,commons-9762fcc385d9,square-1024x1024,true
commons-9eeb42c822f0__square-1024x1024,commons-9eeb42c822f0,square-1024x1024,true
commons-a7fba6bf9954__square-1024x1024,commons-a7fba6bf9954,square-1024x1024,true
commons-af66757a9dfe__square-1024x1024,commons-af66757a9dfe,square-1024x1024,true
commons-af7ad10e9f0b__square-1024x1024,commons-af7ad10e9f0b,square-1024x1024,true
commons-b25ca43efcf4__square-1024x1024,commons-b25ca43efcf4,square-1024x1024,true
commons-b4c97f5573e7__square-1024x1024,commons-b4c97f5573e7,square-1024x1024,true
commons-ce49cdad548c__square-1024x1024,commons-ce49cdad548c,square-1024x1024,true
commons-d5f40d7cf825__square-1024x1024,commons-d5f40d7cf825,square-1024x1024,true
commons-daab2d475e08__square-1024x1024,commons-daab2d475e08,square-1024x1024,true
commons-e04c40323e2b__square-1024x1024,commons-e04c40323e2b,square-1024x1024,true
commons-e6f81b5d23a9__square-1024x1024,commons-e6f81b5d23a9,square-1024x1024,true
oi-08f5c5a0622db3aa__square-1024x1024,oi-08f5c5a0622db3aa,square-1024x1024,true
oi-09a786d569d8a554__square-1024x1024,oi-09a786d569d8a554,square-1024x1024,true
oi-0c9c9ebe5c9aff0b__square-1024x1024,oi-0c9c9ebe5c9aff0b,square-1024x1024,true
oi-0e2d31f8b59f5f51__square-1024x1024,oi-0e2d31f8b59f5f51,square-1024x1024,true
oi-0e88bd648d73e546__square-1024x1024,oi-0e88bd648d73e546,square-1024x1024,true
oi-0ee1bc2b29a03686__square-1024x1024,oi-0ee1bc2b29a03686,square-1024x1024,true
oi-10bcbd59753ff556__square-1024x1024,oi-10bcbd59753ff556,square-1024x1024,true
